chr,start,end,gene_id,gene_name
chr1,19810897,19956315,ENSG00000173436.15_9,MICOS10
chr1,19918296,19923326,ENSG00000235185.1_11,MICOS10-DT
chr1,19923473,19984949,ENSG00000158747.15_11,NBL1
chr1,19923561,19983420,ENSG00000270136.6_10,MICOS10-NBL1
chr1,19934608,19935062,ENSG00000226396.1_9,ENSG00000226396
chr1,19991368,20007459,ENSG00000158748.4_6,HTR6
chr1,20008733,20126438,ENSG00000162542.14_9,TMCO4
chr1,20140522,20141776,ENSG00000178828.7_6,RNF186
chr1,20140860,20145995,ENSG00000235434.1_9,RNF186-AS1
chr1,20208888,20239438,ENSG00000169914.6_6,OTUD3
chr1,20246502,20250110,ENSG00000188784.4_6,PLA2G2E
chr1,20297462,20297760,ENSG00000242688,RN7SL304P
chr1,20301924,20306909,ENSG00000188257.12_10,PLA2G2A
chr1,20354672,20418404,ENSG00000127472.11_6,PLA2G5
chr1,25071873,25170812,ENSG00000169504.15_7,CLIC4
chr1,25104364,25104470,ENSG00000238482,RNU6-1208P
chr1,25226002,25291612,ENSG00000020633.19_8,RUNX3
chr1,25287836,25289588,ENSG00000229162.1_8,RUNX3-AS1
chr1,25294914,25297356,ENSG00000261025.1_9,ENSG00000261025
chr1,25349994,25350077,ENSG00000264371,MIR4425
chr1,25367627,25373895,ENSG00000285823.1_6,LINC02793
chr1,25370198,25439611,ENSG00000233755.1_10,ENSG00000233755
chr1,25451544,25451945,ENSG00000233419.3_7,IFITM3P7
chr1,25534630,25535928,ENSG00000231953.2_10,ENSG00000231953
chr1,25548767,25558993,ENSG00000117614.10_8,SYF2
chr1,67390578,67454302,ENSG00000198160.15_10,MIER1
chr1,67465033,67519831,ENSG00000116704.8_7,SLC35D1
chr1,67557848,67697536,ENSG00000203963.12_8,C1orf141
chr1,67568328,67568462,ENSG00000252433,SNORA31
chr1,67587288,67589639,ENSG00000275678.1_9,ENSG00000275678
chr1,67604590,67725662,ENSG00000162594.17_9,IL23R
chr1,67661823,67661926,ENSG00000253074,RNU6-586P
chr1,67705123,67705210,ENSG00000221733,AL109843.1
chr1,67733284,67733409,ENSG00000252116,RNU4ATAC4P
chr1,67743735,67744462,ENSG00000228523.1_8,DNAJB6P4
chr1,67773047,67864407,ENSG00000081985.14_13,IL12RB2
chr1,67873493,67896098,ENSG00000142864.15_11,SERBP1
chr1,67882897,67883001,ENSG00000223263,RNU6-387P
chr1,67390578,67454302,ENSG00000198160.15_10,MIER1
chr1,67465033,67519831,ENSG00000116704.8_7,SLC35D1
chr1,67557848,67697536,ENSG00000203963.12_8,C1orf141
chr1,67568328,67568462,ENSG00000252433,SNORA31
chr1,67587288,67589639,ENSG00000275678.1_9,ENSG00000275678
chr1,67604590,67725662,ENSG00000162594.17_9,IL23R
chr1,67661823,67661926,ENSG00000253074,RNU6-586P
chr1,67705123,67705210,ENSG00000221733,AL109843.1
chr1,67733284,67733409,ENSG00000252116,RNU4ATAC4P
chr1,67743735,67744462,ENSG00000228523.1_8,DNAJB6P4
chr1,67773047,67864407,ENSG00000081985.14_13,IL12RB2
chr1,67873493,67896098,ENSG00000142864.15_11,SERBP1
chr1,67882897,67883001,ENSG00000223263,RNU6-387P
chr1,67465033,67519831,ENSG00000116704.8_7,SLC35D1
chr1,67557848,67697536,ENSG00000203963.12_8,C1orf141
chr1,67568328,67568462,ENSG00000252433,SNORA31
chr1,67587288,67589639,ENSG00000275678.1_9,ENSG00000275678
chr1,67604590,67725662,ENSG00000162594.17_9,IL23R
chr1,67661823,67661926,ENSG00000253074,RNU6-586P
chr1,67705123,67705210,ENSG00000221733,AL109843.1
chr1,67733284,67733409,ENSG00000252116,RNU4ATAC4P
chr1,67743735,67744462,ENSG00000228523.1_8,DNAJB6P4
chr1,67773047,67864407,ENSG00000081985.14_13,IL12RB2
chr1,67873493,67896098,ENSG00000142864.15_11,SERBP1
chr1,67882897,67883001,ENSG00000223263,RNU6-387P
chr1,67465033,67519831,ENSG00000116704.8_7,SLC35D1
chr1,67557848,67697536,ENSG00000203963.12_8,C1orf141
chr1,67568328,67568462,ENSG00000252433,SNORA31
chr1,67587288,67589639,ENSG00000275678.1_9,ENSG00000275678
chr1,67604590,67725662,ENSG00000162594.17_9,IL23R
chr1,67661823,67661926,ENSG00000253074,RNU6-586P
chr1,67705123,67705210,ENSG00000221733,AL109843.1
chr1,67733284,67733409,ENSG00000252116,RNU4ATAC4P
chr1,67743735,67744462,ENSG00000228523.1_8,DNAJB6P4
chr1,67773047,67864407,ENSG00000081985.14_13,IL12RB2
chr1,67873493,67896098,ENSG00000142864.15_11,SERBP1
chr1,67882897,67883001,ENSG00000223263,RNU6-387P
chr1,151512781,151556059,ENSG00000143367.17_13,TUFT1
chr1,151584482,151671567,ENSG00000143376.14_10,SNX27
chr1,151584514,151585839,ENSG00000250734.2_11,ENSG00000250734
chr1,151601800,151601906,ENSG00000206635,RNU6-1062P
chr1,151672534,151689279,ENSG00000159409.15_8,CELF3
chr1,151673502,151680862,ENSG00000227045.1_8,ENSG00000227045
chr1,151682909,151702070,ENSG00000240510,AL589765.1
chr1,151682909,151702281,ENSG00000178796.13_8,RIIAD1
chr1,151720073,151720176,ENSG00000206980,RNU6-662P
chr1,151728017,151732387,ENSG00000269621.1_9,ENSG00000269621
chr1,151730135,151730918,ENSG00000236940.1_9,ENSG00000236940
chr1,151732123,151735972,ENSG00000143436.11_9,MRPL9
chr1,151735375,151743810,ENSG00000143450.19_14,OAZ3
chr1,151735860,151741977,ENSG00000249602.1_12,ENSG00000249602
chr1,151738185,151738865,ENSG00000232937.1_9,ENSG00000232937
chr1,151738962,151739476,ENSG00000268288.1_9,ENSG00000268288
chr1,151742583,151763892,ENSG00000182134.17_9,TDRKH
chr1,151763280,151766879,ENSG00000203288.6_11,TDRKH-AS1
chr1,151770530,151771078,ENSG00000269489.1_8,ENSG00000269489
